w1,w2,w3,thetaA,f1
0.20,0.30,0.50,0.20,0.0018
0.30,0.20,0.50,0.20,0.0018
0.10,0.30,0.60,0.20,0.0018
0.20,0.20,0.60,0.20,0.0018
0.10,0.20,0.70,0.20,0.0018
0.70,0.10,0.20,0.20,0.0018
0.40,0.20,0.40,0.30,0.0018
0.10,0.30,0.60,0.40,0.0018
0.60,0.10,0.30,0.20,0.0018
0.30,0.20,0.50,0.30,0.0018
0.50,0.10,0.40,0.20,0.0018
0.40,0.10,0.50,0.20,0.0018
0.30,0.10,0.60,0.20,0.0018
0.20,0.10,0.70,0.20,0.0018
0.10,0.10,0.80,0.20,0.0018
0.20,0.20,0.60,0.30,0.0018
0.10,0.20,0.70,0.30,0.0018
0.30,0.50,0.20,0.60,0.0018
0.60,0.10,0.30,0.40,0.0018
0.10,0.10,0.80,0.30,0.0017
0.20,0.20,0.60,0.40,0.0017
0.10,0.30,0.60,0.50,0.0017
0.10,0.20,0.70,0.40,0.0017
0.30,0.10,0.60,0.30,0.0017
0.20,0.10,0.70,0.30,0.0017
0.40,0.10,0.50,0.30,0.0016
0.10,0.60,0.30,0.70,0.0016
0.30,0.20,0.50,0.40,0.0016
0.50,0.40,0.10,0.50,0.0016
0.60,0.20,0.20,0.40,0.0016
0.20,0.30,0.50,0.50,0.0016
0.40,0.20,0.40,0.50,0.0016
0.40,0.20,0.40,0.40,0.0016
0.20,0.40,0.40,0.60,0.0015
0.50,0.10,0.40,0.30,0.0015
0.10,0.10,0.80,0.40,0.0015
0.40,0.30,0.30,0.50,0.0015
0.10,0.20,0.70,0.50,0.0015
0.20,0.10,0.70,0.40,0.0015
0.60,0.10,0.30,0.30,0.0015
0.20,0.20,0.60,0.50,0.0014
0.20,0.30,0.50,0.60,0.0014
0.30,0.10,0.60,0.40,0.0014
0.10,0.10,0.80,0.50,0.0014
0.40,0.10,0.50,0.40,0.0013
0.20,0.10,0.70,0.50,0.0013
0.30,0.20,0.50,0.50,0.0013
0.50,0.10,0.40,0.50,0.0013
0.10,0.20,0.70,0.60,0.0013
0.30,0.10,0.60,0.50,0.0013
0.50,0.10,0.40,0.40,0.0012
0.10,0.30,0.60,0.60,0.0012
0.10,0.10,0.80,0.60,0.0012
0.50,0.20,0.30,0.50,0.0012
0.50,0.30,0.20,0.50,0.0012
0.20,0.60,0.20,0.70,0.0012
0.30,0.40,0.30,0.60,0.0011
0.20,0.10,0.70,0.60,0.0011
0.30,0.20,0.50,0.60,0.0011
0.40,0.10,0.50,0.50,0.0011
0.30,0.30,0.40,0.60,0.0011
0.40,0.50,0.10,0.60,0.0010
0.40,0.20,0.40,0.60,0.0010
0.10,0.50,0.40,0.70,0.0010
0.40,0.10,0.50,0.60,0.0010
0.20,0.20,0.60,0.60,0.0009
0.10,0.30,0.60,0.70,0.0009
0.10,0.40,0.50,0.70,0.0008
0.40,0.30,0.30,0.60,0.0008
0.40,0.40,0.20,0.60,0.0008
0.30,0.10,0.60,0.60,0.0008
0.10,0.10,0.80,0.70,0.0008
0.20,0.20,0.60,0.70,0.0007
0.20,0.30,0.50,0.70,0.0007
0.30,0.10,0.60,0.70,0.0006
0.20,0.40,0.40,0.70,0.0006
0.10,0.20,0.70,0.70,0.0006
0.20,0.50,0.30,0.70,0.0006
0.30,0.50,0.20,0.70,0.0005
0.20,0.10,0.70,0.70,0.0005
0.30,0.20,0.50,0.70,0.0005
0.30,0.60,0.10,0.70,0.0005
0.30,0.40,0.30,0.70,0.0004
0.30,0.30,0.40,0.70,0.0004
