w1,w2,w3,thetaA,f1
0.50,0.40,0.10,0.38,0.0032
0.00,1.00,0.00,0.48,0.0032
0.33,0.33,0.33,0.45,0.0032
0.00,1.00,0.00,0.53,0.0031
0.50,0.50,0.00,0.38,0.0031
0.00,0.50,0.50,0.60,0.0031
0.50,0.40,0.10,0.40,0.0030
0.00,1.00,0.00,0.55,0.0030
0.50,0.50,0.00,0.08,0.0029
0.50,0.50,0.00,0.40,0.0029
0.50,0.00,0.50,0.95,0.0029
0.50,0.40,0.10,0.43,0.0028
0.33,0.33,0.33,0.48,0.0028
0.00,1.00,0.00,0.58,0.0028
0.33,0.33,0.33,0.38,0.0027
0.50,0.50,0.00,0.43,0.0027
0.50,0.40,0.10,0.45,0.0026
0.50,0.50,0.00,0.45,0.0026
0.00,1.00,0.00,0.60,0.0026
0.00,0.50,0.50,0.63,0.0026
0.50,0.50,0.00,0.48,0.0025
0.50,0.50,0.00,0.50,0.0025
0.50,0.00,0.50,0.93,0.0025
0.50,0.50,0.00,0.53,0.0024
0.00,1.00,0.00,0.63,0.0024
0.50,0.40,0.10,0.48,0.0024
0.50,0.50,0.00,0.55,0.0024
0.00,0.50,0.50,0.65,0.0023
0.00,1.00,0.00,0.65,0.0022
0.00,1.00,0.00,0.68,0.0022
0.00,1.00,0.00,0.75,0.0022
0.00,1.00,0.00,0.70,0.0022
0.00,1.00,0.00,0.73,0.0021
0.33,0.33,0.33,0.50,0.0021
0.00,1.00,0.00,0.78,0.0020
0.00,0.50,0.50,0.48,0.0020
0.00,1.00,0.00,0.80,0.0020
0.00,0.50,0.50,0.45,0.0019
0.33,0.33,0.33,0.35,0.0019
0.00,0.50,0.50,0.43,0.0019
0.50,0.40,0.10,0.15,0.0019
0.33,0.33,0.33,0.33,0.0019
0.00,0.50,0.50,0.40,0.0019
0.00,1.00,0.00,0.85,0.0019
0.00,1.00,0.00,0.83,0.0019
0.33,0.33,0.33,0.30,0.0019
0.00,0.50,0.50,0.38,0.0019
0.00,0.50,0.50,0.35,0.0019
0.33,0.33,0.33,0.28,0.0019
0.00,1.00,0.00,0.95,0.0019
0.00,1.00,0.00,0.93,0.0019
0.00,1.00,0.00,0.90,0.0019
0.00,1.00,0.00,0.88,0.0019
0.00,0.50,0.50,0.33,0.0019
0.50,0.40,0.10,0.13,0.0019
0.33,0.33,0.33,0.25,0.0019
0.00,0.50,0.50,0.30,0.0019
0.00,0.50,0.50,0.28,0.0019
0.33,0.33,0.33,0.23,0.0019
0.00,0.50,0.50,0.25,0.0019
0.33,0.33,0.33,0.20,0.0019
0.00,0.50,0.50,0.23,0.0019
0.33,0.33,0.33,0.18,0.0018
0.00,0.50,0.50,0.20,0.0018
0.50,0.40,0.10,0.10,0.0018
0.00,0.50,0.50,0.18,0.0018
0.33,0.33,0.33,0.15,0.0018
0.00,0.50,0.50,0.15,0.0018
0.00,0.50,0.50,0.13,0.0018
0.33,0.33,0.33,0.13,0.0018
0.00,0.50,0.50,0.10,0.0018
0.33,0.33,0.33,0.10,0.0018
0.00,0.50,0.50,0.08,0.0018
0.00,0.50,0.50,0.05,0.0018
0.33,0.33,0.33,0.08,0.0018
0.00,0.00,1.00,0.05,0.0018
0.50,0.00,0.50,0.10,0.0018
0.50,0.00,0.50,0.13,0.0018
0.00,0.00,1.00,0.10,0.0018
0.00,0.00,1.00,0.08,0.0018
0.00,0.00,1.00,0.18,0.0018
0.00,0.00,1.00,0.15,0.0018
0.00,0.00,1.00,0.13,0.0018
0.50,0.00,0.50,0.15,0.0018
0.00,0.00,1.00,0.20,0.0017
0.50,0.40,0.10,0.08,0.0017
0.33,0.33,0.33,0.05,0.0017
